DATA,,,,,,,
key,data,,,,,,
token_name,Serum,,,,,,
token_symbol,SRM,,,,,,
start_date,01/08/20,,,,,,
start_tokens,10000000000,,,,,,
emission_schedule,30D,,,,,,
emission_type,unlock,,,,,,
emission_incentive,,,,,,,
DISTRIBUTION,,,,,,,
entity,Team and Advisors,Seed and Auction Investors,IEO,Ecosystem Incentive Fund,Liquidity Provisioning,Partner and Collaborator Fund,Project Contributors
type,percentage,percentage,percentage,percentage,percentage,percentage,percentage
group,team_advisors,investor,public,ecosystem,ecosystem,ecosystem,team_advisors
emission,unlock,unlock,unlock,unlock,unlock,unlock,unlock
t072,16.6666666666667,3.33333333333333,0.06,22.4166666666666,1.48166666666667,22.5,18.3333333333333
t073,16.9444444444445,3.38888888888888,0.06,22.6527777777778,1.49902777777778,22.875,18.6388888888889
t074,17.2222222222222,3.44444444444444,0.06,22.8888888888889,1.51638888888889,23.25,18.9444444444445
t075,17.5,3.5,0.06,23.125,1.53375,23.625,19.25
t076,17.7777777777778,3.55555555555555,0.06,23.3611111111111,1.55111111111111,24,19.5555555555556
t077,18.0555555555556,3.61111111111111,0.06,23.5972222222222,1.56847222222223,24.375,19.8611111111111
t078,18.3333333333334,3.66666666666666,0.06,23.8333333333333,1.58583333333334,24.75,20.1666666666667
t079,18.6111111111111,3.72222222222222,0.06,24.0694444444444,1.60319444444445,25.125,20.4722222222222
t080,18.8888888888889,3.77777777777777,0.06,24.3055555555555,1.62055555555556,25.5,20.7777777777778
t081,19.1666666666667,3.83333333333333,0.06,24.5416666666666,1.63791666666667,25.875,21.0833333333334
t082,19.4444444444445,3.88888888888888,0.06,24.7777777777778,1.65527777777778,26.25,21.3888888888889
t083,19.7222222222223,3.94444444444444,0.06,25.0138888888889,1.67263888888889,26.625,21.6944444444445
t084,20,4,0.06,25.25,1.69,27,22
