DATA,,,,,,
key,data,,,,,
token_name,Bonfida,,,,,
token_symbol,FIDA,,,,,
start_date,31/12/2020,,,,,
start_tokens,1000000000,,,,,
emission_schedule,1D,,,,,
emission_type,linear_unlock,,,,,
emission_incentive,,,,,,
DISTRIBUTION,,,,,,
entity,Seed,Liquidity,IEO,Serum Ecosystem Incentives,Team,Bonfida Foundation
type,percentage,percentage,percentage,percentage,percentage,percentage
group,investors,ecosystem,public,ecosystem,team_advisors,foundation
emission,unlock,unlock,unlock,unlock,unlock,unlock
t261,0,2,0.6,2,0,0
t262,0,2,0.6,2,0,0
t263,0,2,0.6,2,0,0
t264,0,2,0.6,2,0,0
t265,0,2,0.6,2,0,0
t266,0,2,0.6,2,0,0
t267,0,2,0.6,2,0,0
t268,0,2,0.6,2,0,0
t269,0,2,0.6,2,0,0
t270,0,2,0.6,2,0,0
t271,0,2,0.6,2,0,0
t272,0,2,0.6,2,0,0
t273,0,2,0.6,2,0,0
t274,0,2,0.6,2,0,0
t275,0,2,0.6,2,0,0
t276,0,2,0.6,2,0,0
t277,0,2,0.6,2,0,0
t278,0,2,0.6,2,0,0
t279,0,2,0.6,2,0,0
t280,0,2,0.6,2,0,0
t281,0,2,0.6,2,0,0
t282,0,2,0.6,2,0,0
t283,0,2,0.6,2,0,0
t284,0,2,0.6,2,0,0
t285,0,2,0.6,2,0,0
t286,0,2,0.6,2,0,0
t287,0,2,0.6,2,0,0
t288,0,2,0.6,2,0,0
t289,0,2,0.6,2,0,0
t290,0,2,0.6,2,0,0
t291,0,2,0.6,2,0,0
t292,0,2,0.6,2,0,0
t293,0,2,0.6,2,0,0
t294,0,2,0.6,2,0,0
t295,0,2,0.6,2,0,0
t296,0,2,0.6,2,0,0
t297,0,2,0.6,2,0,0
t298,0,2,0.6,2,0,0
t299,0,2,0.6,2,0,0
t300,0,2,0.6,2,0,0
t301,0,2,0.6,2,0,0
t302,0,2,0.6,2,0,0
t303,0,2,0.6,2,0,0
t304,0,2,0.6,2,0,0
t305,0,2,0.6,2,0,0
t306,0,2,0.6,2,0,0
t307,0,2,0.6,2,0,0
t308,0,2,0.6,2,0,0
t309,0,2,0.6,2,0,0
t310,0,2,0.6,2,0,0
t311,0,2,0.6,2,0,0
t312,0,2,0.6,2,0,0
t313,0,2,0.6,2,0,0
t314,0,2,0.6,2,0,0
t315,0,2,0.6,2,0,0
t316,0,2,0.6,2,0,0
t317,0,2,0.6,2,0,0
t318,0,2,0.6,2,0,0
t319,0,2,0.6,2,0,0
t320,0,2,0.6,2,0,0
t321,0,2,0.6,2,0,0
t322,0,2,0.6,2,0,0
t323,0,2,0.6,2,0,0
t324,0,2,0.6,2,0,0
t325,0,2,0.6,2,0,0
t326,0,2,0.6,2,0,0
t327,0,2,0.6,2,0,0
t328,0,2,0.6,2,0,0
t329,0,2,0.6,2,0,0
t330,0,2,0.6,2,0,0
t331,0,2,0.6,2,0,0
t332,0,2,0.6,2,0,0
t333,0,2,0.6,2,0,0
t334,0,2,0.6,2,0,0
t335,0,2,0.6,2,0,0
