DATA,,,,,,,,,
key,data,,,,,,,,
token_name,Maps.me,,,,,,,,
token_symbol,MAPS,,,,,,,,
start_date,01/12/2021,,,,,,,,
start_tokens,10000000000,,,,,,,,
emission_schedule,1D,,,,,,,,
emission_type,linear_unlock,,,,,,,,
emission_incentive,,,,,,,,,
DISTRIBUTION,,,,,,,,,
entity,Private Sale,IEO and Initial Liquidity,Serum Community Fund,MAPS Community Fund,Liquidity & Token Growth,Ecosystem Partners,Project Builders,Technology & Product,Ecosystem Growth & Marketing
type,percentage,percentage,percentage,percentage,percentage,percentage,percentage,percentage,percentage
group,investor,public,ecosystem,ecosystem,foundation,ecosystem,team_advisors,team_advisors,ecosystem
emission,unlock,unlock,unlock,unlock,unlock,unlock,unlock,unlock,unlock
t135,0,5,1.5,2,0,0,0,0,1.5
t136,0,5,1.5,2,0,0,0,0,1.5
t137,0,5,1.5,2,0,0,0,0,1.5
t138,0,5,1.5,2,0,0,0,0,1.5
t139,0,5,1.5,2,0,0,0,0,1.5
t140,0,5,1.5,2,0,0,0,0,1.5
t141,0,5,1.5,2,0,0,0,0,1.5
t142,0,5,1.5,2,0,0,0,0,1.5
t143,0,5,1.5,2,0,0,0,0,1.5
t144,0,5,1.5,2,0,0,0,0,1.5
t145,0,5,1.5,2,0,0,0,0,1.5
t146,0,5,1.5,2,0,0,0,0,1.5
t147,0,5,1.5,2,0,0,0,0,1.5
t148,0,5,1.5,2,0,0,0,0,1.5
t149,0,5,1.5,2,0,0,0,0,1.5
t150,0,5,1.5,2,0,0,0,0,1.5
t151,0,5,1.5,2,0,0,0,0,1.5
t152,0,5,1.5,2,0,0,0,0,1.5
t153,0,5,1.5,2,0,0,0,0,1.5
t154,0,5,1.5,2,0,0,0,0,1.5
t155,0,5,1.5,2,0,0,0,0,1.5
t156,0,5,1.5,2,0,0,0,0,1.5
t157,0,5,1.5,2,0,0,0,0,1.5
t158,0,5,1.5,2,0,0,0,0,1.5
t159,0,5,1.5,2,0,0,0,0,1.5
t160,0,5,1.5,2,0,0,0,0,1.5
t161,0,5,1.5,2,0,0,0,0,1.5
t162,0,5,1.5,2,0,0,0,0,1.5
t163,0,5,1.5,2,0,0,0,0,1.5
t164,0,5,1.5,2,0,0,0,0,1.5
t165,0,5,1.5,2,0,0,0,0,1.5
t166,0,5,1.5,2,0,0,0,0,1.5
t167,0,5,1.5,2,0,0,0,0,1.5
t168,0,5,1.5,2,0,0,0,0,1.5
t169,0,5,1.5,2,0,0,0,0,1.5
t170,0,5,1.5,2,0,0,0,0,1.5
t171,0,5,1.5,2,0,0,0,0,1.5
t172,0,5,1.5,2,0,0,0,0,1.5
t173,0,5,1.5,2,0,0,0,0,1.5
t174,0,5,1.5,2,0,0,0,0,1.5
t175,0,5,1.5,2,0,0,0,0,1.5
t176,0,5,1.5,2,0,0,0,0,1.5
t177,0,5,1.5,2,0,0,0,0,1.5
t178,0,5,1.5,2,0,0,0,0,1.5
t179,0,5,1.5,2,0,0,0,0,1.5
t180,0,5,1.5,2,0,0,0,0,1.5
t181,0,5,1.5,2,0,0,0,0,1.5
t182,0,5,1.5,2,0,0,0,0,1.5
t183,0,5,1.5,2,0,0,0,0,1.5
t184,0,5,1.5,2,0,0,0,0,1.5
t185,0,5,1.5,2,0,0,0,0,1.5
t186,0,5,1.5,2,0,0,0,0,1.5
t187,0,5,1.5,2,0,0,0,0,1.5
t188,0,5,1.5,2,0,0,0,0,1.5
t189,0,5,1.5,2,0,0,0,0,1.5
t190,0,5,1.5,2,0,0,0,0,1.5
t191,0,5,1.5,2,0,0,0,0,1.5
t192,0,5,1.5,2,0,0,0,0,1.5
t193,0,5,1.5,2,0,0,0,0,1.5
t194,0,5,1.5,2,0,0,0,0,1.5
t195,0,5,1.5,2,0,0,0,0,1.5
t196,0,5,1.5,2,0,0,0,0,1.5
t197,0,5,1.5,2,0,0,0,0,1.5
t198,0,5,1.5,2,0,0,0,0,1.5
t199,0,5,1.5,2,0,0,0,0,1.5
t200,0,5,1.5,2,0,0,0,0,1.5
t201,0,5,1.5,2,0,0,0,0,1.5
t202,0,5,1.5,2,0,0,0,0,1.5
t203,0,5,1.5,2,0,0,0,0,1.5
t204,0,5,1.5,2,0,0,0,0,1.5
t205,0,5,1.5,2,0,0,0,0,1.5
t206,0,5,1.5,2,0,0,0,0,1.5
t207,0,5,1.5,2,0,0,0,0,1.5
t208,0,5,1.5,2,0,0,0,0,1.5
t209,0,5,1.5,2,0,0,0,0,1.5
t210,0,5,1.5,2,0,0,0,0,1.5
t211,0,5,1.5,2,0,0,0,0,1.5
t212,0,5,1.5,2,0,0,0,0,1.5
t213,0,5,1.5,2,0,0,0,0,1.5
t214,0,5,1.5,2,0,0,0,0,1.5
t215,0,5,1.5,2,0,0,0,0,1.5
t216,0,5,1.5,2,0,0,0,0,1.5
t217,0,5,1.5,2,0,0,0,0,1.5
t218,0,5,1.5,2,0,0,0,0,1.5
t219,0,5,1.5,2,0,0,0,0,1.5
t220,0,5,1.5,2,0,0,0,0,1.5
t221,0,5,1.5,2,0,0,0,0,1.5
t222,0,5,1.5,2,0,0,0,0,1.5
t223,0,5,1.5,2,0,0,0,0,1.5
t224,0,5,1.5,2,0,0,0,0,1.5
t225,0,5,1.5,2,0,0,0,0,1.5
t226,0,5,1.5,2,0,0,0,0,1.5
t227,0,5,1.5,2,0,0,0,0,1.5
t228,0,5,1.5,2,0,0,0,0,1.5
t229,0,5,1.5,2,0,0,0,0,1.5
t230,0,5,1.5,2,0,0,0,0,1.5
t231,0,5,1.5,2,0,0,0,0,1.5
t232,0,5,1.5,2,0,0,0,0,1.5
t233,0,5,1.5,2,0,0,0,0,1.5
t234,0,5,1.5,2,0,0,0,0,1.5
t235,0,5,1.5,2,0,0,0,0,1.5
t236,0,5,1.5,2,0,0,0,0,1.5
t237,0,5,1.5,2,0,0,0,0,1.5
t238,0,5,1.5,2,0,0,0,0,1.5
t239,0,5,1.5,2,0,0,0,0,1.5
t240,0,5,1.5,2,0,0,0,0,1.5
t241,0,5,1.5,2,0,0,0,0,1.5
t242,0,5,1.5,2,0,0,0,0,1.5
t243,0,5,1.5,2,0,0,0,0,1.5
t244,0,5,1.5,2,0,0,0,0,1.5
t245,0,5,1.5,2,0,0,0,0,1.5
t246,0,5,1.5,2,0,0,0,0,1.5
t247,0,5,1.5,2,0,0,0,0,1.5
t248,0,5,1.5,2,0,0,0,0,1.5
t249,0,5,1.5,2,0,0,0,0,1.5
t250,0,5,1.5,2,0,0,0,0,1.5
t251,0,5,1.5,2,0,0,0,0,1.5
t252,0,5,1.5,2,0,0,0,0,1.5
t253,0,5,1.5,2,0,0,0,0,1.5
t254,0,5,1.5,2,0,0,0,0,1.5
t255,0,5,1.5,2,0,0,0,0,1.5
t256,0,5,1.5,2,0,0,0,0,1.5
t257,0,5,1.5,2,0,0,0,0,1.5
t258,0,5,1.5,2,0,0,0,0,1.5
t259,0,5,1.5,2,0,0,0,0,1.5
t260,0,5,1.5,2,0,0,0,0,1.5
t261,0,5,1.5,2,0,0,0,0,1.5
t262,0,5,1.5,2,0,0,0,0,1.5
t263,0,5,1.5,2,0,0,0,0,1.5
t264,0,5,1.5,2,0,0,0,0,1.5
t265,0,5,1.5,2,0,0,0,0,1.5
t266,0,5,1.5,2,0,0,0,0,1.5
t267,0,5,1.5,2,0,0,0,0,1.5
t268,0,5,1.5,2,0,0,0,0,1.5
t269,0,5,1.5,2,0,0,0,0,1.5
t270,0,5,1.5,2,0,0,0,0,1.5
t271,0,5,1.5,2,0,0,0,0,1.5
t272,0,5,1.5,2,0,0,0,0,1.5
t273,0,5,1.5,2,0,0,0,0,1.5
t274,0,5,1.5,2,0,0,0,0,1.5
t275,0,5,1.5,2,0,0,0,0,1.5
t276,0,5,1.5,2,0,0,0,0,1.5
t277,0,5,1.5,2,0,0,0,0,1.5
t278,0,5,1.5,2,0,0,0,0,1.5
t279,0,5,1.5,2,0,0,0,0,1.5
t280,0,5,1.5,2,0,0,0,0,1.5
t281,0,5,1.5,2,0,0,0,0,1.5
t282,0,5,1.5,2,0,0,0,0,1.5
t283,0,5,1.5,2,0,0,0,0,1.5
t284,0,5,1.5,2,0,0,0,0,1.5
t285,0,5,1.5,2,0,0,0,0,1.5
t286,0,5,1.5,2,0,0,0,0,1.5
t287,0,5,1.5,2,0,0,0,0,1.5
t288,0,5,1.5,2,0,0,0,0,1.5
t289,0,5,1.5,2,0,0,0,0,1.5
t290,0,5,1.5,2,0,0,0,0,1.5
t291,0,5,1.5,2,0,0,0,0,1.5
t292,0,5,1.5,2,0,0,0,0,1.5
t293,0,5,1.5,2,0,0,0,0,1.5
t294,0,5,1.5,2,0,0,0,0,1.5
t295,0,5,1.5,2,0,0,0,0,1.5
t296,0,5,1.5,2,0,0,0,0,1.5
t297,0,5,1.5,2,0,0,0,0,1.5
t298,0,5,1.5,2,0,0,0,0,1.5
t299,0,5,1.5,2,0,0,0,0,1.5
t300,0,5,1.5,2,0,0,0,0,1.5
t301,0,5,1.5,2,0,0,0,0,1.5
t302,0,5,1.5,2,0,0,0,0,1.5
t303,0,5,1.5,2,0,0,0,0,1.5
t304,0,5,1.5,2,0,0,0,0,1.5
t305,0,5,1.5,2,0,0,0,0,1.5
t306,0,5,1.5,2,0,0,0,0,1.5
t307,0,5,1.5,2,0,0,0,0,1.5
t308,0,5,1.5,2,0,0,0,0,1.5
t309,0,5,1.5,2,0,0,0,0,1.5
t310,0,5,1.5,2,0,0,0,0,1.5
t311,0,5,1.5,2,0,0,0,0,1.5
t312,0,5,1.5,2,0,0,0,0,1.5
t313,0,5,1.5,2,0,0,0,0,1.5
t314,0,5,1.5,2,0,0,0,0,1.5
t315,0,5,1.5,2,0,0,0,0,1.5
t316,0,5,1.5,2,0,0,0,0,1.5
t317,0,5,1.5,2,0,0,0,0,1.5
t318,0,5,1.5,2,0,0,0,0,1.5
t319,0,5,1.5,2,0,0,0,0,1.5
t320,0,5,1.5,2,0,0,0,0,1.5
t321,0,5,1.5,2,0,0,0,0,1.5
t322,0,5,1.5,2,0,0,0,0,1.5
t323,0,5,1.5,2,0,0,0,0,1.5
t324,0,5,1.5,2,0,0,0,0,1.5
t325,0,5,1.5,2,0,0,0,0,1.5
t326,0,5,1.5,2,0,0,0,0,1.5
t327,0,5,1.5,2,0,0,0,0,1.5
t328,0,5,1.5,2,0,0,0,0,1.5
t329,0,5,1.5,2,0,0,0,0,1.5
t330,0,5,1.5,2,0,0,0,0,1.5
t331,0,5,1.5,2,0,0,0,0,1.5
t332,0,5,1.5,2,0,0,0,0,1.5
t333,0,5,1.5,2,0,0,0,0,1.5
t334,0,5,1.5,2,0,0,0,0,1.5
t335,0,5,1.5,2,0,0,0,0,1.5
t336,0,5,1.5,2,0,0,0,0,1.5
t337,0,5,1.5,2,0,0,0,0,1.5
t338,0,5,1.5,2,0,0,0,0,1.5
t339,0,5,1.5,2,0,0,0,0,1.5
t340,0,5,1.5,2,0,0,0,0,1.5
t341,0,5,1.5,2,0,0,0,0,1.5
t342,0,5,1.5,2,0,0,0,0,1.5
t343,0,5,1.5,2,0,0,0,0,1.5
t344,0,5,1.5,2,0,0,0,0,1.5
t345,0,5,1.5,2,0,0,0,0,1.5
t346,0,5,1.5,2,0,0,0,0,1.5
t347,0,5,1.5,2,0,0,0,0,1.5
t348,0,5,1.5,2,0,0,0,0,1.5
t349,0,5,1.5,2,0,0,0,0,1.5
t350,0,5,1.5,2,0,0,0,0,1.5
t351,0,5,1.5,2,0,0,0,0,1.5
t352,0,5,1.5,2,0,0,0,0,1.5
t353,0,5,1.5,2,0,0,0,0,1.5
t354,0,5,1.5,2,0,0,0,0,1.5
t355,0,5,1.5,2,0,0,0,0,1.5
t356,0,5,1.5,2,0,0,0,0,1.5
t357,0,5,1.5,2,0,0,0,0,1.5
t358,0,5,1.5,2,0,0,0,0,1.5
t359,0,5,1.5,2,0,0,0,0,1.5
t360,0,5,1.5,2,0,0,0,0,1.5
t361,0,5,1.5,2,0,0,0,0,1.5
t362,0,5,1.5,2,0,0,0,0,1.5
t363,0,5,1.5,2,0,0,0,0,1.5
t364,0,5,1.5,2,0,0,0,0,1.5
t365,0,5,1.5,2,0,0,0,0,1.5
t366,0.00228,5,1.50844,2.00821,0.00228,0.00456,0.00684,0.00456,1.50388
t367,0.00456,5,1.51688,2.01642,0.00456,0.00912,0.01369,0.00912,1.50776
t368,0.00684,5,1.52532,2.02464,0.00684,0.01369,0.02053,0.01369,1.51163
t369,0.00912,5,1.53376,2.03285,0.00912,0.01825,0.02737,0.01825,1.51551
t370,0.01141,5,1.5422,2.04106,0.01141,0.02281,0.03422,0.02281,1.51939
t371,0.01369,5,1.55064,2.04927,0.01369,0.02737,0.04106,0.02737,1.52327
t372,0.01597,5,1.55908,2.05748,0.01597,0.03193,0.0479,0.03193,1.52714
t373,0.01825,5,1.56752,2.06569,0.01825,0.0365,0.05474,0.0365,1.53102
t374,0.02053,5,1.57596,2.07391,0.02053,0.04106,0.06159,0.04106,1.5349
t375,0.02281,5,1.5844,2.08212,0.02281,0.04562,0.06843,0.04562,1.53878
t376,0.02509,5,1.59284,2.09033,0.02509,0.05018,0.07527,0.05018,1.54266
t377,0.02737,5,1.60128,2.09854,0.02737,0.05474,0.08212,0.05474,1.54653
t378,0.02965,5,1.60972,2.10675,0.02965,0.05931,0.08896,0.05931,1.55041
t379,0.03193,5,1.61816,2.11496,0.03193,0.06387,0.0958,0.06387,1.55429
t380,0.03422,5,1.6266,2.12318,0.03422,0.06843,0.10265,0.06843,1.55817
t381,0.0365,5,1.63504,2.13139,0.0365,0.07299,0.10949,0.07299,1.56204
t382,0.03878,5,1.64348,2.1396,0.03878,0.07755,0.11633,0.07755,1.56592
t383,0.04106,5,1.65192,2.14781,0.04106,0.08212,0.12318,0.08212,1.5698
t384,0.04334,5,1.66036,2.15602,0.04334,0.08668,0.13002,0.08668,1.57368
t385,0.04562,5,1.6688,2.16423,0.04562,0.09124,0.13686,0.09124,1.57755
t386,0.0479,5,1.67724,2.17245,0.0479,0.0958,0.1437,0.0958,1.58143
t387,0.05018,5,1.68568,2.18066,0.05018,0.10036,0.15055,0.10036,1.58531
t388,0.05246,5,1.69411,2.18887,0.05246,0.10493,0.15739,0.10493,1.58919
t389,0.05474,5,1.70255,2.19708,0.05474,0.10949,0.16423,0.10949,1.59307
t390,0.05703,5,1.71099,2.20529,0.05703,0.11405,0.17108,0.11405,1.59694
t391,0.05931,5,1.71943,2.2135,0.05931,0.11861,0.17792,0.11861,1.60082
t392,0.06159,5,1.72787,2.22172,0.06159,0.12318,0.18476,0.12318,1.6047
t393,0.06387,5,1.73631,2.22993,0.06387,0.12774,0.19161,0.12774,1.60858
t394,0.06615,5,1.74475,2.23814,0.06615,0.1323,0.19845,0.1323,1.61245
t395,0.06843,5,1.75319,2.24635,0.06843,0.13686,0.20529,0.13686,1.61633
t396,0.07071,5,1.76163,2.25456,0.07071,0.14142,0.21214,0.14142,1.62021
t397,0.07299,5,1.77007,2.26277,0.07299,0.14599,0.21898,0.14599,1.62409
t398,0.07527,5,1.77851,2.27099,0.07527,0.15055,0.22582,0.15055,1.62797
t399,0.07755,5,1.78695,2.2792,0.07755,0.15511,0.23266,0.15511,1.63184
t400,0.07984,5,1.79539,2.28741,0.07984,0.15967,0.23951,0.15967,1.63572
t401,0.08212,5,1.80383,2.29562,0.08212,0.16423,0.24635,0.16423,1.6396
t402,0.0844,5,1.81227,2.30383,0.0844,0.1688,0.25319,0.1688,1.64348
t403,0.08668,5,1.82071,2.31204,0.08668,0.17336,0.26004,0.17336,1.64735
t404,0.08896,5,1.82915,2.32026,0.08896,0.17792,0.26688,0.17792,1.65123
t405,0.09124,5,1.83759,2.32847,0.09124,0.18248,0.27372,0.18248,1.65511
t406,0.09352,5,1.84603,2.33668,0.09352,0.18704,0.28057,0.18704,1.65899
t407,0.0958,5,1.85447,2.34489,0.0958,0.19161,0.28741,0.19161,1.66286
t408,0.09808,5,1.86291,2.3531,0.09808,0.19617,0.29425,0.19617,1.66674
t409,0.10036,5,1.87135,2.36131,0.10036,0.20073,0.30109,0.20073,1.67062
t410,0.10265,5,1.87979,2.36953,0.10265,0.20529,0.30794,0.20529,1.6745
t411,0.10493,5,1.88823,2.37774,0.10493,0.20985,0.31478,0.20985,1.67838
t412,0.10721,5,1.89667,2.38595,0.10721,0.21442,0.32162,0.21442,1.68225
t413,0.10949,5,1.90511,2.39416,0.10949,0.21898,0.32847,0.21898,1.68613
t414,0.11177,5,1.91355,2.40237,0.11177,0.22354,0.33531,0.22354,1.69001
t415,0.11405,5,1.92199,2.41058,0.11405,0.2281,0.34215,0.2281,1.69389
t416,0.11633,5,1.93043,2.4188,0.11633,0.23266,0.349,0.23266,1.69776
t417,0.11861,5,1.93887,2.42701,0.11861,0.23723,0.35584,0.23723,1.70164
t418,0.12089,5,1.94731,2.43522,0.12089,0.24179,0.36268,0.24179,1.70552
t419,0.12318,5,1.95575,2.44343,0.12318,0.24635,0.36953,0.24635,1.7094
t420,0.12546,5,1.96419,2.45164,0.12546,0.25091,0.37637,0.25091,1.71328
t421,0.12774,5,1.97263,2.45985,0.12774,0.25547,0.38321,0.25547,1.71715
t422,0.13002,5,1.98107,2.46807,0.13002,0.26004,0.39005,0.26004,1.72103
t423,0.1323,5,1.98951,2.47628,0.1323,0.2646,0.3969,0.2646,1.72491
t424,0.13458,5,1.99795,2.48449,0.13458,0.26916,0.40374,0.26916,1.72879
t425,0.13686,5,2.00639,2.4927,0.13686,0.27372,0.41058,0.27372,1.73266
t426,0.13914,5,2.01483,2.50091,0.13914,0.27828,0.41743,0.27828,1.73654
t427,0.14142,5,2.02327,2.50912,0.14142,0.28285,0.42427,0.28285,1.74042
t428,0.1437,5,2.03171,2.51734,0.1437,0.28741,0.43111,0.28741,1.7443
t429,0.14599,5,2.04015,2.52555,0.14599,0.29197,0.43796,0.29197,1.74818
t430,0.14827,5,2.04859,2.53376,0.14827,0.29653,0.4448,0.29653,1.75205
t431,0.15055,5,2.05703,2.54197,0.15055,0.30109,0.45164,0.30109,1.75593
t432,0.15283,5,2.06547,2.55018,0.15283,0.30566,0.45849,0.30566,1.75981
t433,0.15511,5,2.07391,2.55839,0.15511,0.31022,0.46533,0.31022,1.76369
t434,0.15739,5,2.08234,2.56661,0.15739,0.31478,0.47217,0.31478,1.76756
t435,0.15967,5,2.09078,2.57482,0.15967,0.31934,0.47901,0.31934,1.77144
t436,0.16195,5,2.09922,2.58303,0.16195,0.32391,0.48586,0.32391,1.77532
t437,0.16423,5,2.10766,2.59124,0.16423,0.32847,0.4927,0.32847,1.7792
t438,0.16651,5,2.1161,2.59945,0.16651,0.33303,0.49954,0.33303,1.78307
t439,0.1688,5,2.12454,2.60766,0.1688,0.33759,0.50639,0.33759,1.78695
t440,0.17108,5,2.13298,2.61588,0.17108,0.34215,0.51323,0.34215,1.79083
t441,0.17336,5,2.14142,2.62409,0.17336,0.34672,0.52007,0.34672,1.79471
t442,0.17564,5,2.14986,2.6323,0.17564,0.35128,0.52692,0.35128,1.79859
t443,0.17792,5,2.1583,2.64051,0.17792,0.35584,0.53376,0.35584,1.80246
t444,0.1802,5,2.16674,2.64872,0.1802,0.3604,0.5406,0.3604,1.80634
t445,0.18248,5,2.17518,2.65693,0.18248,0.36496,0.54745,0.36496,1.81022
t446,0.18476,5,2.18362,2.66515,0.18476,0.36953,0.55429,0.36953,1.8141
t447,0.18704,5,2.19206,2.67336,0.18704,0.37409,0.56113,0.37409,1.81797
t448,0.18932,5,2.2005,2.68157,0.18932,0.37865,0.56797,0.37865,1.82185
t449,0.19161,5,2.20894,2.68978,0.19161,0.38321,0.57482,0.38321,1.82573
t450,0.19389,5,2.21738,2.69799,0.19389,0.38777,0.58166,0.38777,1.82961
t451,0.19617,5,2.22582,2.7062,0.19617,0.39234,0.5885,0.39234,1.83349
t452,0.19845,5,2.23426,2.71442,0.19845,0.3969,0.59535,0.3969,1.83736
t453,0.20073,5,2.2427,2.72263,0.20073,0.40146,0.60219,0.40146,1.84124
t454,0.20301,5,2.25114,2.73084,0.20301,0.40602,0.60903,0.40602,1.84512
t455,0.20529,5,2.25958,2.73905,0.20529,0.41058,0.61588,0.41058,1.849
