DATA,,,,,,,,
key,data,,,,,,,
token_name,Oxygen,,,,,,,
token_symbol,OXY,,,,,,,
start_date,01/12/2021,,,,,,,
start_tokens,10000000000,,,,,,,
emission_schedule,1D,,,,,,,
emission_type,linear_unlock,,,,,,,
emission_incentive,,,,,,,,
DISTRIBUTION,,,,,,,,
entity,Community Fund,Team,Serum Ecosystem Incentives,Maps Ecosystem Incentives,Product and Tech Growth,Private Sale,IEO,Partners
type,percentage,percentage,percentage,percentage,percentage,percentage,percentage,percentage
group,ecosystem,team_advisors,ecosystem,ecosystem,team_advisors,investors,public,team_advisors
emission,unlock,unlock,unlock,unlock,unlock,unlock,unlock,unlock
allocation,20,10,15,10,25,10,2,8.00
t090,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t091,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t092,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t093,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t094,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t095,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t096,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t097,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t098,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t099,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t100,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t101,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t102,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t103,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t104,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t105,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t106,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t107,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t108,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t109,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t110,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t111,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t112,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t113,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t114,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t115,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t116,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t117,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t118,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t119,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t120,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t121,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t122,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t123,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t124,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t125,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t126,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t127,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t128,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t129,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t130,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t131,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t132,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t133,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t134,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t135,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t136,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t137,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t138,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t139,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t140,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t141,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t142,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t143,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t144,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t145,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t146,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t147,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t148,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t149,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t150,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t151,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t152,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t153,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t154,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t155,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t156,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t157,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t158,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t159,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t160,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t161,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t162,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t163,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t164,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t165,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t166,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t167,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t168,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t169,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t170,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t171,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t172,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t173,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t174,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t175,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t176,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t177,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t178,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t179,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t180,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t181,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t182,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t183,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t184,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t185,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t186,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t187,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t188,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t189,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t190,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t191,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t192,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t193,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t194,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t195,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t196,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t197,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t198,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t199,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t200,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t201,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t202,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t203,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t204,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t205,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t206,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t207,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t208,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t209,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t210,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t211,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t212,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t213,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t214,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t215,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
